icmp_ipid_echo,icmp_ipid_counter,tcp_ipid_counter,udp_ipid_counter,tcp_udp_icmp_counter_share,tcp_icmp_counter_share,udp_icmp_counter_share,tcp_udp_counter_share,udp_ittl,icmp_ittl,tcp_ittl,icmp_echo_size,tcp_size,udp_size,vendor
False,i,i,i,True,True,True,True,255,255,255,84,40,56,3Com
True,echo,i,i,False,False,False,True,64,64,64,84,40,56,Alcatel-Lucent-1
True,echo,r,r,False,False,False,False,64,64,64,84,40,56,Alcatel-Lucent-2
False,i,i,i,False,True,False,False,64,64,64,84,40,68,Brocade-1
False,i,i,i,False,True,False,True,64,64,64,84,40,56,Brocade-2
False,i,i,i,False,True,True,False,64,64,64,84,40,68,Brocade-3
False,i,i,i,True,True,True,True,64,64,64,84,40,56,Brocade-4
False,i,i,r,False,True,False,False,64,64,64,84,40,68,Brocade-5
False,i,r,i,False,True,False,False,64,64,64,84,40,68,Brocade-6
False,i,r,i,False,True,True,False,64,64,64,84,40,68,Brocade-7
False,i,r,r,False,True,False,False,64,64,64,84,40,68,Brocade-8
False,i,sz,i,False,True,False,False,64,64,64,84,40,68,Brocade-9
False,i,sz,i,False,True,True,False,64,64,64,84,40,68,Brocade-10
False,r,i,i,False,False,False,False,64,64,64,84,40,68,Brocade-11
False,r,i,r,False,False,False,False,64,64,64,84,40,68,Brocade-12
False,r,r,i,False,False,False,False,64,64,64,84,40,68,Brocade-13
False,r,r,r,False,False,False,False,64,64,64,84,40,68,Brocade-14
False,i,i,r,False,True,False,False,255,255,64,84,40,56,ciscoSystems-1
False,r,i,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems-2
False,r,r,dup,False,False,False,False,255,255,255,40,40,56,ciscoSystems-3
False,r,r,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems-4
False,sz,r,i,False,False,False,False,255,255,255,56,40,56,ciscoSystems-5
True,echo,i1,i,False,False,False,False,255,255,255,84,40,96,ciscoSystems-6
True,echo,i1,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems-7
True,echo,i,i1,False,False,False,False,255,255,255,84,40,96,ciscoSystems-8
True,echo,i,i,False,False,False,False,255,255,255,84,40,96,ciscoSystems-9
True,echo,i,i,False,False,False,True,255,255,255,84,40,56,ciscoSystems-10
True,echo,i,r,False,False,False,False,255,255,255,84,40,96,ciscoSystems-11
True,echo,i,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems-12
True,echo,r,dup,False,False,False,False,255,255,255,40,40,56,ciscoSystems-13
True,echo,r,dup,False,False,False,False,255,255,255,40,40,96,ciscoSystems-14
True,echo,r,dup,False,False,False,False,255,64,64,40,40,56,ciscoSystems-15
True,echo,r,i1,False,False,False,False,255,255,255,84,40,96,ciscoSystems-16
True,echo,r,i,False,False,False,False,255,255,255,84,40,168,ciscoSystems-17
True,echo,r,i,False,False,False,False,255,255,255,84,40,56,ciscoSystems-18
True,echo,r,i,False,False,False,False,255,255,255,84,40,96,ciscoSystems-19
True,echo,r,r,False,False,False,False,255,255,255,84,40,96,ciscoSystems-20
True,echo,r,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems-21
True,echo,sz,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems-22
True,echo,i,i,False,False,False,True,255,255,64,84,40,56,Ericsson
False,i,i,i,False,True,False,True,255,255,255,84,40,56,H3C-1
False,i,i,i,False,True,False,True,255,255,255,84,40,68,H3C-2
False,i,i,i,True,True,True,True,255,255,255,84,40,68,H3C-3
False,i,i,r,False,True,False,False,255,255,255,84,40,56,H3C-4
False,i,r,i,False,True,False,False,255,255,255,84,40,56,H3C-5
False,i,r,r,False,True,False,False,255,255,255,84,40,56,H3C-6
False,i,r,r,False,True,False,False,255,255,255,84,40,68,H3C-7
False,r,r,r,False,False,False,False,255,255,255,84,40,56,H3C-8
True,echo,i,r,False,False,False,False,255,255,255,84,40,56,H3C-9
False,r,i,i,False,False,False,True,255,255,255,84,40,56,HUAWEI-1
True,echo,i1,i,False,False,False,False,255,255,255,84,40,56,HUAWEI-2
True,echo,i,dup,False,False,False,False,255,255,255,40,40,56,HUAWEI-3
True,echo,i,i1,False,False,False,False,255,255,255,84,40,56,HUAWEI-4
True,echo,i,i,False,False,False,False,255,255,255,84,40,56,HUAWEI-5
True,echo,i,i,False,False,False,True,255,255,255,84,40,56,HUAWEI-6
True,echo,r,i1,False,False,False,False,255,255,255,84,40,56,HUAWEI-7
True,echo,r,r,False,False,False,False,255,255,255,84,40,56,HUAWEI-8
False,i,i,i,False,True,False,True,255,64,64,84,40,56,Juniper-1
False,i,i,i,True,True,True,True,255,64,64,84,40,56,Juniper-2
False,i,i,r,False,True,False,False,255,64,64,84,40,56,Juniper-3
False,i,r,i,False,True,True,False,255,64,64,84,40,56,Juniper-4
False,i,r,r,False,True,False,False,255,64,64,84,40,56,Juniper-5
