icmp_ipid_echo,icmp_ipid_counter,tcp_ipid_counter,udp_ipid_counter,tcp_udp_icmp_counter_share,tcp_icmp_counter_share,udp_icmp_counter_share,tcp_udp_counter_share,udp_ittl,icmp_ittl,tcp_ittl,icmp_echo_size,tcp_size,udp_size,vendor
False,i,i,i,False,True,False,False,64,64,64,84,40,68,Brocade
False,i,i,i,False,True,False,False,64,64,64,84,40,68,net-snmp
False,i,i,i,False,True,False,True,255,255,255,84,40,56,H3C
False,i,i,i,False,True,False,True,255,255,255,84,40,56,HUAWEI
False,i,i,i,False,True,False,True,255,255,255,84,40,68,H3C
False,i,i,i,False,True,False,True,255,255,255,84,40,68,Hewlett-Packard
False,i,i,i,False,True,False,True,64,64,64,84,40,56,Brocade
False,i,i,i,False,True,False,True,64,64,64,84,40,56,net-snmp
False,i,i,i,False,True,False,True,64,64,64,84,40,68,net-snmp
False,i,i,i,False,True,False,True,64,64,64,84,40,68,Ruijie
False,i,i,i,False,True,True,False,64,64,64,84,40,68,Brocade
False,i,i,i,False,True,True,False,64,64,64,84,40,68,net-snmp
False,i,i,i,True,True,True,True,255,255,255,84,40,56,3Com
False,i,i,i,True,True,True,True,255,255,255,84,40,56,H3C
False,i,i,i,True,True,True,True,255,255,255,84,40,56,HUAWEI
False,i,i,i,True,True,True,True,255,255,255,84,40,68,H3C
False,i,i,i,True,True,True,True,255,255,255,84,40,68,Hewlett-Packard
False,i,i,i,True,True,True,True,64,64,64,84,40,56,Brocade
False,i,i,i,True,True,True,True,64,64,64,84,40,56,net-snmp
False,i,i,i,True,True,True,True,64,64,64,84,40,56,OneAccess
False,i,i,i,True,True,True,True,64,64,64,84,40,68,net-snmp
False,i,i,i,True,True,True,True,64,64,64,84,40,68,Ruijie
False,i,r,i,False,True,True,False,64,64,64,84,40,68,Brocade
False,i,r,i,False,True,True,False,64,64,64,84,40,68,net-snmp
False,i,sz,i,False,True,False,False,64,64,64,84,40,68,Brocade
False,i,sz,i,False,True,False,False,64,64,64,84,40,68,Casa
False,i,sz,i,False,True,False,False,64,64,64,84,40,68,Dell
False,i,sz,i,False,True,False,False,64,64,64,84,40,68,Extreme
False,i,sz,i,False,True,False,False,64,64,64,84,40,68,MikroTik
False,i,sz,i,False,True,False,False,64,64,64,84,40,68,net-snmp
False,i,sz,i,False,True,True,False,64,64,64,84,40,68,Brocade
False,i,sz,i,False,True,True,False,64,64,64,84,40,68,Dell
False,i,sz,i,False,True,True,False,64,64,64,84,40,68,Extreme
False,i,sz,i,False,True,True,False,64,64,64,84,40,68,MikroTik
False,i,sz,i,False,True,True,False,64,64,64,84,40,68,net-snmp
False,i,sz,r,False,True,False,False,64,64,64,84,40,68,MikroTik
False,i,sz,r,False,True,False,False,64,64,64,84,40,68,net-snmp
False,r,i,i,False,False,False,False,64,64,64,84,40,68,Brocade
False,r,i,i,False,False,False,False,64,64,64,84,40,68,net-snmp
False,r,i,r,False,False,False,False,64,64,64,84,40,68,Brocade
False,r,i,r,False,False,False,False,64,64,64,84,40,68,net-snmp
False,r,r,i,False,False,False,False,64,64,64,84,40,68,Brocade
False,r,r,i,False,False,False,False,64,64,64,84,40,68,net-snmp
False,r,r,r,False,False,False,False,64,64,64,84,40,68,Brocade
False,r,r,r,False,False,False,False,64,64,64,84,40,68,net-snmp
False,r,sz,r,False,False,False,False,64,64,64,84,40,68,MikroTik
False,r,sz,r,False,False,False,False,64,64,64,84,40,68,net-snmp
True,echo,i,i,False,False,False,True,255,255,255,84,40,56,Cisco
True,echo,i,i,False,False,False,True,255,255,255,84,40,56,HUAWEI
True,echo,i,i,False,False,False,True,64,64,64,84,40,56,Alcatel-Lucent
True,echo,i,i,False,False,False,True,64,64,64,84,40,56,Nokia
True,echo,i,r,False,False,False,False,255,255,255,84,40,56,H3C
True,echo,i,r,False,False,False,False,255,255,255,84,40,56,HUAWEI
True,echo,r,r,False,False,False,False,64,64,64,84,40,56,Alcatel-Lucent
True,echo,r,r,False,False,False,False,64,64,64,84,40,56,Nokia
True,echo,i,i,False,False,False,False,255,255,255,84,40,56,HUAWEI
True,echo,i,i,False,False,False,False,255,255,255,84,40,56,ciscoSystems
True,echo,r,r,False,False,False,False,255,255,255,84,40,56,ciscoSystems
True,echo,r,r,False,False,False,False,255,255,255,84,40,56,HUAWEI
