icmp_ipid_echo,icmp_ipid_counter,tcp_ipid_counter,udp_ipid_counter,tcp_udp_icmp_counter_share,tcp_icmp_counter_share,udp_icmp_counter_share,tcp_udp_counter_share,udp_ittl,icmp_ittl,tcp_ittl,icmp_echo_size,tcp_size,udp_size,vendor
False,dup,sz,dup,False,False,False,False,64,64,64,84,40,68,MikroTik
False,dup,sz,i,False,False,False,False,64,64,64,84,40,68,MikroTik
False,dup,sz,r,False,False,False,False,64,64,64,84,40,68,MikroTik
False,dup,sz,snz,False,False,False,False,64,64,64,84,40,68,MikroTik
False,i1,sz,dup,False,True,False,False,64,64,64,84,40,68,MikroTik
False,i1,sz,dup,False,True,True,False,64,64,64,84,40,68,MikroTik
False,i1,sz,snz,False,True,False,False,64,64,64,84,40,68,MikroTik
False,i,i,i,False,True,False,True,255,64,64,84,40,56,Juniper
False,i,i,i,True,True,True,True,255,64,64,84,40,56,Juniper
False,i,i,r,False,True,False,False,255,255,255,84,40,56,H3C
False,i,i,r,False,True,False,False,255,255,64,84,40,56,ciscoSystems
False,i,i,r,False,True,False,False,255,64,64,84,40,56,Juniper
False,i,i,r,False,True,False,False,64,64,64,84,40,68,Brocade
False,i,r,dup,False,True,False,False,64,64,64,40,58,68,MikroTik
False,i,r,i,False,True,False,False,255,255,255,84,40,56,H3C
False,i,r,i,False,True,False,False,64,64,64,84,40,68,Brocade
False,i,r,i,False,True,True,False,255,64,64,84,40,56,Juniper
False,i,r,r,False,True,False,False,255,255,255,40,56,56,MikroTik
False,i,r,r,False,True,False,False,255,255,255,84,40,56,H3C
False,i,r,r,False,True,False,False,255,255,255,84,40,68,H3C
False,i,r,r,False,True,False,False,255,255,64,40,58,56,MikroTik
False,i,r,r,False,True,False,False,255,64,64,84,40,56,Juniper
False,i,r,r,False,True,False,False,64,64,64,84,40,68,Brocade
False,i,r,r,False,True,False,False,64,64,64,84,56,56,Ruijie
False,i,sz,dup,False,True,False,False,64,64,64,84,40,68,MikroTik
False,i,sz,dup,False,True,True,False,64,64,64,84,40,68,MikroTik
False,i,sz,i,False,True,False,False,64,64,64,84,40,68,MikroTik
False,r,dup,dup,False,False,False,False,64,64,64,40,40,68,MikroTik
False,r,dup,dup,False,False,False,False,64,64,64,40,58,68,MikroTik
False,r,dup,dup,False,False,False,False,64,64,64,58,40,84,MikroTik
False,r,dup,i,False,False,False,False,64,64,64,40,40,68,MikroTik
False,r,dup,r,False,False,False,False,64,64,64,40,40,68,MikroTik
False,r,i,i,False,False,False,True,255,255,255,84,40,56,HUAWEI
False,r,i,i,False,False,False,True,255,64,64,84,40,56,Juniper
False,r,i,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems
False,r,i,r,False,False,False,False,255,64,64,84,40,56,Juniper
False,r,r,dup,False,False,False,False,255,255,255,40,40,56,ciscoSystems
False,r,r,dup,False,False,False,False,64,64,255,40,56,68,MikroTik
False,r,r,dup,False,False,False,False,64,64,64,40,58,68,MikroTik
False,r,r,i,False,False,False,False,255,64,64,84,40,56,Juniper
False,r,r,r,False,False,False,False,255,255,255,40,56,56,MikroTik
False,r,r,r,False,False,False,False,255,255,255,84,40,56,H3C
False,r,r,r,False,False,False,False,255,255,64,40,58,56,MikroTik
False,r,r,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems
False,r,r,r,False,False,False,False,255,64,64,84,40,56,Juniper
False,r,r,r,False,False,False,False,64,64,64,40,40,68,MikroTik
False,r,sz,dup,False,False,False,False,64,64,64,84,40,68,MikroTik
False,r,sz,i,False,False,False,False,64,64,64,84,40,68,net-snmp
False,snz,sz,dup,False,False,False,False,64,64,64,84,40,68,MikroTik
False,snz,sz,r,False,False,False,False,64,64,64,84,40,68,MikroTik
False,snz,sz,snz,False,False,False,False,64,64,64,84,40,68,MikroTik
False,sz,r,i,False,False,False,False,255,255,255,56,40,56,ciscoSystems
False,sz,sz,i,False,False,False,False,64,64,64,84,40,68,net-snmp
False,sz,sz,sz,False,False,False,False,64,64,64,84,40,68,Juniper
True,echo,dup,r,False,False,False,False,64,64,64,40,40,68,MikroTik
True,echo,i1,i,False,False,False,False,255,255,255,84,40,56,HUAWEI
True,echo,i1,i,False,False,False,False,255,255,255,84,40,96,ciscoSystems
True,echo,i1,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems
True,echo,i,dup,False,False,False,False,255,255,255,40,40,56,HUAWEI
True,echo,i,i1,False,False,False,False,255,255,255,84,40,56,HUAWEI
True,echo,i,i1,False,False,False,False,255,255,255,84,40,96,ciscoSystems
True,echo,i,i,False,False,False,False,255,255,255,84,40,96,ciscoSystems
True,echo,i,i,False,False,False,True,255,255,255,84,40,56,HUAWEI
True,echo,i,i,False,False,False,True,255,255,64,84,40,56,Ericsson
True,echo,i,i,False,False,False,True,255,64,64,84,40,56,Juniper
True,echo,i,r,False,False,False,False,255,255,255,84,40,96,ciscoSystems
True,echo,i,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems
True,echo,i,sz,False,False,False,False,128,128,64,84,40,56,Juniper
True,echo,r,dup,False,False,False,False,255,255,255,40,40,56,ciscoSystems
True,echo,r,dup,False,False,False,False,255,255,255,40,40,96,ciscoSystems
True,echo,r,dup,False,False,False,False,255,64,64,40,40,56,ciscoSystems
True,echo,r,i1,False,False,False,False,255,255,255,84,40,56,HUAWEI
True,echo,r,i1,False,False,False,False,255,255,255,84,40,96,ciscoSystems
True,echo,r,i,False,False,False,False,255,255,255,84,40,168,ciscoSystems
True,echo,r,i,False,False,False,False,255,255,255,84,40,56,ciscoSystems
True,echo,r,i,False,False,False,False,255,255,255,84,40,96,ciscoSystems
True,echo,r,r,False,False,False,False,255,255,255,84,40,96,ciscoSystems
True,echo,r,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems
True,echo,r,sz,False,False,False,False,128,128,64,84,40,56,Juniper
True,echo,sz,r,False,False,False,False,255,255,64,84,40,56,ciscoSystems
